name,context,question,answer
Victor_Sage_,"When Vic Sage, a television investigative journalist, encountered stories he couldn't investigate by normal, legal means, he donned a special mask (kept in his belt buckle) that made it appear that he had no face. As the Question, Sage investigated corruption in the face of all danger, leaving a blank ""calling card"", which, when touched, emitted a smoky question mark.[1]",What does Victor Sage’s special make do ?,Victor Sage’s special mask makes it appear that he has no face.
Vivian_D'Aramis_,"The twin sisters Constance and Vivian D'Aramis operated as Crimson Fox. With their similar attire and pheromone powers, they were hard to tell apart and the general populace of France was largely unaware that the Crimson Fox was in fact two separate people. They were both members of the Justice League Europe.",Where Constance and Vivian D’Aramis hard to tell apart ?,Yes
Wally_West_,"Wally West is the third Flash, a speedster from Keystone City who initially fought crime as the original Kid Flash with his uncle Barry Allen, the second Flash. He is a founding member of the Teen Titans and has also been a member of the Justice League of America. After he was struck by a bolt of lightning and doused in chemicals, Wally gained a mainline-connection to the Speed Force, meaning he cannot be cut off from its energy.",Who is Barry Allen to Wally West ?,Barry Allen is Wally’s uncle. 
"Winslow_Schott,_Jr._","Winslow ""Winn"" Schott, Jr. was  the son of the original Toyman and a tech expert who worked alongside Kara Danvers (Supergirl) at CatCo Worldwide Media who served as one of her allies, helping her develop her costume and aiding her in her adventures as Supergirl.[6] Winn moved into the 31st century after the defeat of the Worldkillers and joined the Legion of Superheroes. Initially he used the code name Computer Lad but later he started using the code name Toyman.",Who did Winslow work with ?,Winslow worked as a tech expert alongside Kara Danvers
Wonder_Woman_,"Princess Diana is Wonder Woman, the daughter of Hippolyta, Queen of the Amazons, and Zeus, the mightiest of the Gods of Olympus. Diana volunteered to leave behind her home of Themyscira and champion the Amazons' message of peace, fighting for justice and equality in Man's World and becoming a founding member of the Justice League.",What is Wonder Woman’s name ?,Diana /
Yohn_Kohl_,"Spartan was born Yohn Kohl, a flesh and blood Kherubim and member of the Pantheon class on Khera. Yohn was trained as a warrior from birth. He was respected as a war lord and warrior that to honor him the Kherubim created the Spartan Guards, using his likeness as the template.",Was Yohn Kohl respected ?,He was respected as a war lord and warrior.
Yz_,"Yz the Thunderbolt was Johnny Thunder's invisible pink anthropomorphic, thunderbolt-shaped magic genie, who can do almost anything if it has a human guide to steer it. In recent years, many other potential heroes have become the Thunderbolt's master, first Mike Dugan and later Jakeem Williams, who currently works with the Justice Society of America.",Who is the current Thunderbolt ?,Jakeem Williams.
Zari_Tarazi_,"Zari Tomaz was originally a vigilante hacker wielder of the Air Totem from the 2040s who eventually became a member of the Legends, but her life was altered by changes in the timeline during the Heyworld event. In the new timeline, she was renamed Zari Tarazi and became a socialite, who later joined the Legends with her brother.",What was Zari Tomaz in the new timeline ?,Zari Tazari.
Zatanna_Zatara_,"Zatanna Zatara, usually known by just her first name, is a powerful half Homo Magi. She is the daughter of John Zatara, and like him casts spells by saying what she wants backward. Zatanna is a direct descendant of the artist and magician Leonardo da Vinci, and is related to Nostradamus, Alessandro Cagliostro, the noted alchemists Nicholas Flamel and Evan Fulcanelli and Lord Arion of Atlantis.[5] Her cousin, Zachary Zatara, is also a magician.
",How does Zatana cast spells ?,Zatanna casts spells by saying what she wants backwards.
Zod_,"Zod is the ""son"" of Wonder Woman and Lord Superman. Actually a clone made from the shared genetic material, he was created in an attempt to broker peace on his Earth after years of war. Brainiac stole him from his parents and placed him in the care of the Kryptonian renegade Jax-Ur, who raised him as his own son.",Is Zod the son of Wonder Woman and Lord Superman ?,Zod is actually a clone made from the shared genetic material of Wonder Woman and Lord Superman.
Zor-El_,"Zor-El is the brother of Jor-El, the husband of Alura and the father of Kara Zor-El. He was a scientist in Argo City, before the destruction of Krypton. During the destruction, he sent Kara to Earth and helped save Argo, but he ended up being trapped in the Phantom Zone. Years later, Kara was sent to the Phantom Zone by Lex Luthor, where she found Zor-El. Eventually, they were saved by the Superfriends and Zor-El began living in Earth-Prime with a new identity; Archie.",What was Zor-El occupation before the fall of Krypton ?,"He was a scientist in Argo City, before the destruction of Krypton."
